project_id,project_name,project_kind,build_mode,runtime_target,instrument_count,acceptance_test_count,stateful_runtime,exportable_receipt,package_runtime_status,full_underlying_system_complete,claim_boundary
mb-muranoos-dialectic-lab-handoff-pack-pass-2-2026-04-15,Dialectic Lab,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-prism-chamber-murano-ready-package-2026-04-14,Prism Chamber,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-script-atelier-handoff-package-v0-2026-04-17,Script Atelier (v0),master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-the-interval-handoff-v0-1,The Interval (remote violence),master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-tradecraft-foundry-handoff-package-2026-04-11,Tradecraft Foundry,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-western-myth-codex-phase-i-stub-pack,Western Myth Codex,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
