project_id,project_title,project_kind,proof_tier,component_count,quality_gate_counts,upgrade_class_counts,source_strategy,distinctiveness_component_to_build,distinctiveness_component_operation,distinctiveness_component_output,acceptance_test,best_improvement,build_status
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-2026-04-15,Triple-layer (zip+tree+addendum); 3-pass ledger,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-package-2026-04-11,Only one with 07_Derivative_Handoff/; richest SQL DDL,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-pass1-2026-04-15,"specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Core Expansion A""",master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-refraction-chamber-final-handoff-2026-04-14,Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-tranche-ii-handoff-pack-2026-04-15,"Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new commands",master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-tranche1-handoff-package-2026-04-11,Leanest blueprint-only; only with named rollback doc,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-red-team-trancheii-handoff-2026-04-13,Surgical patch package; 12 live source snapshots + 4 patch-plane specs,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-redteam-rc1-2026-04-14,RC1 wrapper; front-loaded 00_RC_Handoff/,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-redteamlab-handoff-package-v1,Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,master-bundle artifact / archive router,limited-proof-or-private-abstraction,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-script-atelier-handoff-package-v0-2026-04-17,Script Atelier (v0),master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-the-interval-handoff-v0-1,The Interval (remote violence),master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-tradecraft-foundry-handoff-package-2026-04-11,Tradecraft Foundry,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-western-myth-codex-phase-i-stub-pack,Western Myth Codex,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-africa,Colonial Encounter in Africa,research workflow software,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-aifailure-tax,AI Failure Taxonomy,method atlas / taxonomy,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,source-to-output proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.",source-backed proof build; needs source-to-output capture and close-read strengthening
