task_id,priority,project_id,project_title,source_role,source_title,close_read_question,passage_target_needed,proof_component_to_strengthen,expected_output,claim_unlocked_if_completed
CR-0329,P1,mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0330,P1,mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0331,P1,mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0332,P1,mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),domain grounding,Creating a Constitution Transcrip,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0333,P1,mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),method authority,Creating a Constitution Transcrip (2021 01 02 03 51 07 UTC),"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0334,P1,mb-murano-room-handoff-v1,Room template v1,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0335,P1,mb-murano-room-handoff-v1,Room template v1,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0336,P1,mb-murano-room-handoff-v1,Room template v1,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0337,P1,mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0338,P1,mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0339,P1,mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0340,P1,mb-muranoos-red-team-handoff-package-gpt-synth-2026-04-18,"Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workflow (breaks from red_team_* spine)",technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0341,P1,mb-muranoos-red-team-handoff-package-gpt-synth-2026-04-18,"Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workflow (breaks from red_team_* spine)",domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0342,P1,mb-muranoos-red-team-handoff-package-gpt-synth-2026-04-18,"Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workflow (breaks from red_team_* spine)",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0343,P1,mb-muranoos-red-team-proper-handoff-pass1-2026-04-15,"specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Core Expansion A""",method authority,043 Historical Documents Harvard Classics PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0344,P1,mb-muranoos-red-team-proper-handoff-pass1-2026-04-15,"specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Core Expansion A""",technical mechanism,Building an American Empire The Era of Territorial and Political Expansion Paul Frymer,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0345,P1,mb-muranoos-red-team-proper-handoff-pass1-2026-04-15,"specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Core Expansion A""",domain grounding,Contract &amp Commonwealth Thomas,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0346,P1,mb-murano-speechcraft-studio-handoff,Speechcraft Studio,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0347,P1,mb-murano-speechcraft-studio-handoff,Speechcraft Studio,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0348,P1,mb-murano-speechcraft-studio-handoff,Speechcraft Studio,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0349,P1,mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0350,P1,mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0351,P1,mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0352,P1,mb-muranoos-redteamlab-handoff-package-v1,Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0353,P1,mb-muranoos-redteamlab-handoff-package-v1,Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0354,P1,mb-muranoos-redteamlab-handoff-package-v1,Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0355,P1,mb-muranoos-red-team-trancheii-handoff-2026-04-13,Surgical patch package; 12 live source snapshots + 4 patch-plane specs,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0356,P1,mb-muranoos-red-team-trancheii-handoff-2026-04-13,Surgical patch package; 12 live source snapshots + 4 patch-plane specs,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0357,P1,mb-muranoos-red-team-trancheii-handoff-2026-04-13,Surgical patch package; 12 live source snapshots + 4 patch-plane specs,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0358,P1,mb-muranoos-red-team-refraction-chamber-final-handoff-2026-04-14,Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0359,P1,mb-muranoos-red-team-refraction-chamber-final-handoff-2026-04-14,Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0360,P1,mb-muranoos-red-team-refraction-chamber-final-handoff-2026-04-14,Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0361,P1,mb-muranoos-tradecraft-foundry-handoff-package-2026-04-11,Tradecraft Foundry,method authority,043 Historical Documents Harvard Classics PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0362,P1,mb-muranoos-tradecraft-foundry-handoff-package-2026-04-11,Tradecraft Foundry,technical mechanism,A Tradecraft Primer Structured Analytic Techniques,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0363,P1,mb-muranoos-tradecraft-foundry-handoff-package-2026-04-11,Tradecraft Foundry,domain grounding,A Tradecraft Primer Structured Analytic Techniques (2),"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0364,P1,mb-muranoos-red-team-proper-handoff-2026-04-15,Triple-layer (zip+tree+addendum); 3-pass ledger,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0365,P1,mb-muranoos-red-team-proper-handoff-2026-04-15,Triple-layer (zip+tree+addendum); 3-pass ledger,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0366,P1,mb-muranoos-red-team-proper-handoff-2026-04-15,Triple-layer (zip+tree+addendum); 3-pass ledger,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0367,P1,mb-murano-os-warrant-chamber-handoff-v1,Warrant Chamber,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0368,P1,mb-murano-os-warrant-chamber-handoff-v1,Warrant Chamber,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0369,P1,mb-murano-os-warrant-chamber-handoff-v1,Warrant Chamber,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0370,P1,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0371,P1,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,domain grounding,2015.219.Russian Thinkers text,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0372,P1,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,method authority,2015.219.Russian Thinkers text PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0373,P1,mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0374,P1,mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,domain grounding,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0375,P1,mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,method authority,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0376,P1,mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0377,P1,mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0378,P1,mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0379,P1,mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0380,P1,mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0381,P1,mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0382,P0,mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,method authority,Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0383,P0,mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,technical mechanism,"Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas","What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0384,P0,mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,adversarial model,Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC,What adversary behavior or failure mode should the proof test?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0385,P1,mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0386,P1,mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",counter-source or limitation,AID Framework - Statement Builder,"What claim must be narrowed, qualified, or held back unless further evidence appears?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0387,P1,mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0388,P1,planning,"Development Process - how projects move from idea to built, reviewed work",method authority,American Political Development and Poli,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0389,P1,planning,"Development Process - how projects move from idea to built, reviewed work",domain grounding,American Political Development and Poli PDOC,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0390,P1,planning,"Development Process - how projects move from idea to built, reviewed work",evaluation standard,Basic Methods of Policy Analysis and Planning Carl V. Patton et al,What observable pass/fail condition does this source justify?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0391,P0,personal-os,"Personal OS - MuranoOS, a personal operating system, local workbench, and project foundation",technical mechanism,A Companion to Andrei Platonov's the Foundation Pit Thomas Seifrid,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
