project_id,project_title,project_kind,proof_tier,source_priority,source_strategy,component_count,routed_source_count,source_role_coverage,top_source_candidates,source_gap,next_source_actions,claim_rule
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",research workflow software,specified-proof-plan-needs-demo,P1,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,11,6,5,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC | Cognitive Linguistics Basic Readings Dirk Geeraerts,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,policy / governance proposal,specified-proof-plan-needs-demo,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",11,6,4,"National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC | National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva | No Place for Russia European Security Institutions Since 1989 Hill, William H | The Routledge Handbook of European Security Law and Policy Elena Conde et al","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,5,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | A Military Atlas of the First World War Arthur S. Banks et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Falzeder, Ernst (ed.) Complete Correspondence of Freud and Karl Abraham, 1907 1925 (Karnac, 2002)","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,master-bundle artifact / archive router,source-backed-proof-build,P0,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",17,12,5,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC | Russia's Security Policy under Putin Aglaya Snetkov,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
row1,Quantitative Capstone - quantitative arm of the AI-corruption capstone study,research study,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,5,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC | Creativity Research Nik Murano,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC | A Comparative Sociology of World Religions Virtuosi Priests and Popular Religion ( PDFDrive ) PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-script-atelier-handoff-package-v0-2026-04-17,Script Atelier (v0),master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Atelier Crenn,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-western-myth-codex-phase-i-stub-pack,Western Myth Codex,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | A History of Western Art,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | 2aMassage Techniques and Effects Presentation | 2aMassage Techniques and Effects Presentation PDOC | A Tradecraft Primer Structured Analytic Techniques,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,master-bundle artifact / archive router,source-backed-proof-build,P0,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",17,12,5,043 Historical Documents Harvard Classics PDOC | 10. 222057482 Step By Step Massage Therapy Protocols for Common Conditions 2012 PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | The Nutritional Hierarchy of Importance Nutrient Timing PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Atlas of World Architecture Markus Sebastian Braun | Atlas of World Architecture Markus Sebastian Braun (2) | Atlas of World Architecture PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC | Russia's Security Policy under Putin Aglaya Snetkov,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"043 Historical Documents Harvard Classics PDOC | Beyond Hegel and Dialectic Speculation, Cult, and Comedy William Desmond | Dialectic of Enlightenment Theodor W. Adorno et al | Dialectic of Enlightenment Theodor W. Adorno et al (2)","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,12,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-tranche-ii-handoff-pack-2026-04-15,"Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new commands",master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | A Most Dangerous Book Christopher B. Krebs,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-murano-prismatic-agora-handoff-v1-0-done,Prismatic Agora,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-the-interval-handoff-v0-1,The Interval (remote violence),master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Classical Film Violence PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Human Rights and War Through Civilian Eyes Thomas W Smith,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,5,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century - Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt's Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),master-bundle artifact / archive router,source-backed-proof-build,P0,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",17,12,5,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,master-bundle artifact / archive router,source-backed-proof-build,P0,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",17,12,5,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC | Russia's Security Policy under Putin Aglaya Snetkov,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | (Military Profiles) Dennis Showalter William J. Astore Hindenburg Icon of German Militarism Potomac Books Inc. (2005) PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | A Companion to Middle High German Literature to the 14th Century Francis G. Gentry,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Omega and the End of the Universe,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Woolfs to the Lighthouse Janet Winston,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),master-bundle artifact / archive router,source-backed-proof-build,P0,"Use sources to test retrieval as scholarly warrant rather than as fluent search. The proof must show corpus boundary, retrieved passage, evidence score, negative-space finding, abstention case, and claim boundary.",17,12,5,043 Historical Documents Harvard Classics PDOC | Attachment and Bonding A New Synthesis C. Sue Carter | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC | Russia's Security Policy under Putin Aglaya Snetkov,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | 2aMassage Techniques and Effects Presentation | 2aMassage Techniques and Effects Presentation PDOC | A Tradecraft Primer Structured Analytic Techniques,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC | National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
