project_id,product_name,final_object_type,capsule_count,stage_distribution,execution_ready_capsules,instrumented_capsules,source_application_status,source_roles_assigned,distinctive_component_to_capture,what_distinctive_component_must_prove,observable_distinctive_output,next_project_proof_build,claim_boundary
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,source governance or packet-routing system,17,execution-ready proof capsule: 2 | instrumented proof capsule awaiting live capture: 15,2,15,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Concept-to-theory lexicon proof: 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,"Promote one term from 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories into definition, misuse boundary, source warrant, analytic example, and mini-theory candidate.","term record, definition, source warrant, example, misuse warning, and theory-promotion decision","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",source governance or packet-routing system,17,execution-ready proof capsule: 2 | instrumented proof capsule awaiting live capture: 15,2,15,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,"Packet promotion decision proof: 50-entry curated arsenal (of planned 1,000)","Select one artifact from 50-entry curated arsenal (of planned 1,000) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),source governance or packet-routing system,17,execution-ready proof capsule: 2 | instrumented proof capsule awaiting live capture: 15,2,15,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Professional capability evidence-router: 500-role ranked search universe (250 federal + 250 private),"Translate one capability item from 500-role ranked search universe (250 federal + 250 private) into skill evidence, proof artifact, readiness gap, and next work product without making unsupported employment claims.","skill claim, evidence artifact, readiness gap, next proof object, and public wording boundary","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,source governance or packet-routing system,17,execution-ready proof capsule: 2 | instrumented proof capsule awaiting live capture: 15,2,15,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Structured-analytic technique replay: AR-SAT Room,"Select one method or template from AR-SAT Room and run it against a concrete analytic question, showing input evidence, technique sequence, analyst intervention, and final claim boundary.","technique sequence, evidence table, analyst delta, confidence boundary, and misuse warning","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,source governance or packet-routing system,17,execution-ready proof capsule: 2 | instrumented proof capsule awaiting live capture: 15,2,15,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Counterintelligence analytic-variable proof: Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,"Take one intelligence or counterintelligence artifact from Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,source governance or packet-routing system,17,execution-ready proof capsule: 2 | instrumented proof capsule awaiting live capture: 15,2,15,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #...,"Select one artifact from Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,source governance or packet-routing system,17,execution-ready proof capsule: 2 | instrumented proof capsule awaiting live capture: 15,2,15,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Room instrument transition proof: Counter-Idiom Lab,"Select one room or instrument promise from Counter-Idiom Lab and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,research workflow software module,17,execution-ready proof capsule: 2 | instrumented proof capsule awaiting live capture: 15,2,15,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,"Select one artifact from Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-portfolio-index,Full Project Catalogue,source governance or packet-routing system,17,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 16,1,16,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Full Project Catalogue,"Select one artifact from Full Project Catalogue and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,source governance or packet-routing system,17,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 16,1,16,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: IC analyst portfolio build kit; skill taxonomy S01-S26,"Select one artifact from IC analyst portfolio build kit; skill taxonomy S01-S26 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,source governance or packet-routing system,17,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 16,1,16,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: IDDD Bibliographic Inventory,"Select one artifact from IDDD Bibliographic Inventory and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-003,Internal Operating Support Packet 003,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 003,"Select one artifact from Internal Operating Support Packet 003 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-004,Internal Operating Support Packet 004,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 004,"Select one artifact from Internal Operating Support Packet 004 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-007,Internal Operating Support Packet 007,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 007,"Select one artifact from Internal Operating Support Packet 007 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-008,Internal Operating Support Packet 008,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 008,"Select one artifact from Internal Operating Support Packet 008 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-011,Internal Operating Support Packet 011,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 011,"Select one artifact from Internal Operating Support Packet 011 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-012,Internal Operating Support Packet 012,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 012,"Select one artifact from Internal Operating Support Packet 012 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-015,Internal Operating Support Packet 015,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 015,"Select one artifact from Internal Operating Support Packet 015 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-016,Internal Operating Support Packet 016,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 016,"Select one artifact from Internal Operating Support Packet 016 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-019,Internal Operating Support Packet 019,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 019,"Select one artifact from Internal Operating Support Packet 019 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-020,Internal Operating Support Packet 020,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 020,"Select one artifact from Internal Operating Support Packet 020 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-023,Internal Operating Support Packet 023,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 023,"Select one artifact from Internal Operating Support Packet 023 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-024,Internal Operating Support Packet 024,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 024,"Select one artifact from Internal Operating Support Packet 024 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-027,Internal Operating Support Packet 027,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 027,"Select one artifact from Internal Operating Support Packet 027 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-028,Internal Operating Support Packet 028,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 028,"Select one artifact from Internal Operating Support Packet 028 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-031,Internal Operating Support Packet 031,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 031,"Select one artifact from Internal Operating Support Packet 031 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-032,Internal Operating Support Packet 032,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 032,"Select one artifact from Internal Operating Support Packet 032 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-035,Internal Operating Support Packet 035,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 035,"Select one artifact from Internal Operating Support Packet 035 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-036,Internal Operating Support Packet 036,source governance or packet-routing system,7,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 6,1,6,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Internal Operating Support Packet 036,"Select one artifact from Internal Operating Support Packet 036 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),research workflow software module,17,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 16,1,16,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Lossless Synthesis (Magnum Opus Scriptorium),"Select one artifact from Lossless Synthesis (Magnum Opus Scriptorium) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,source governance or packet-routing system,17,execution-ready proof capsule: 1 | instrumented proof capsule awaiting live capture: 16,1,16,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Counterintelligence analytic-variable proof: Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/...,"Take one intelligence or counterintelligence artifact from Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,research workflow software module,17,instrumented proof capsule awaiting live capture: 17,0,17,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Room instrument transition proof: * META: the Protocol v3.1 itself - consumed by every MuranoOS room ha...,"Select one room or instrument promise from * META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,research workflow software module,17,instrumented proof capsule awaiting live capture: 17,0,17,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Actual code patch: 170 KB unified diff + changed files,"Select one artifact from Actual code patch: 170 KB unified diff + changed files and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,research workflow software module,17,instrumented proof capsule awaiting live capture: 17,0,17,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,"Select one artifact from Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,research workflow software module,17,instrumented proof capsule awaiting live capture: 17,0,17,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Annealed Refraction Chamber,"Select one artifact from Annealed Refraction Chamber and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-applied-history-lab,Applied History Lab,source governance or packet-routing system,17,instrumented proof capsule awaiting live capture: 17,0,17,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Room instrument transition proof: Applied History Lab,"Select one room or instrument promise from Applied History Lab and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,research workflow software module,17,instrumented proof capsule awaiting live capture: 17,0,17,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Bias Atlas,"Select one artifact from Bias Atlas and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,research workflow software module,17,instrumented proof capsule awaiting live capture: 17,0,17,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Briefing-to-release proof: Briefing Forge,"Take one briefing element from Briefing Forge through source intake, drafting, review brake, release decision, and revision requirement.","briefing input, source support, release brake decision, revision task, and approved public wording","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),source governance or packet-routing system,17,instrumented proof capsule awaiting live capture: 17,0,17,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Briefing-to-release proof: Briefing Forge Room (code-ready),"Take one briefing element from Briefing Forge Room (code-ready) through source intake, drafting, review brake, release decision, and revision requirement.","briefing input, source support, release brake decision, revision task, and approved public wording","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,research workflow software module,17,instrumented proof capsule awaiting live capture: 17,0,17,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Counterintelligence analytic-variable proof: CI Tradecraft Chamber,"Take one intelligence or counterintelligence artifact from CI Tradecraft Chamber and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),analytic method or human-AI evaluation module,17,instrumented proof capsule awaiting live capture: 17,0,17,application-complete but close-read or bibliographic verification remains,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Counterintelligence analytic-variable proof: CI red-cell methods reference architecture (post-integrity-correction...,"Take one intelligence or counterintelligence artifact from CI red-cell methods reference architecture (post-integrity-correction rebuild) and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
