project_id,product_name,final_object_type,build_tranche,component_count,average_maturity_score,minimum_maturity_score,level_distribution,execution_ready_components,instrumented_or_better_components,proof_status,distinctive_component_to_build,distinctive_component_operation,distinctive_component_output,weakest_components,next_full_build_step,claim_boundary,engine_page
mb-internal-operating-support-011,Internal Operating Support Packet 011,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 011 Public Abstraction Boundary | Internal Operating Support Packet 011 Continuity Function | Internal Operating Support Packet 011 Project Linkage | Internal Operating Support Packet 011 Evidence Surface | Internal Operating Support Packet 011 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-012,Internal Operating Support Packet 012,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 012 Public Abstraction Boundary | Internal Operating Support Packet 012 Continuity Function | Internal Operating Support Packet 012 Project Linkage | Internal Operating Support Packet 012 Privacy And Appropriateness Gate | Internal Operating Support Packet 012 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-015,Internal Operating Support Packet 015,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 015 Public Abstraction Boundary | Internal Operating Support Packet 015 Continuity Function | Internal Operating Support Packet 015 Project Linkage | Internal Operating Support Packet 015 Evidence Surface | Internal Operating Support Packet 015 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-016,Internal Operating Support Packet 016,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 016 Public Abstraction Boundary | Internal Operating Support Packet 016 Continuity Function | Internal Operating Support Packet 016 Project Linkage | Internal Operating Support Packet 016 Privacy And Appropriateness Gate | Internal Operating Support Packet 016 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-019,Internal Operating Support Packet 019,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 019 Public Abstraction Boundary | Internal Operating Support Packet 019 Continuity Function | Internal Operating Support Packet 019 Project Linkage | Internal Operating Support Packet 019 Evidence Surface | Internal Operating Support Packet 019 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-020,Internal Operating Support Packet 020,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 020 Public Abstraction Boundary | Internal Operating Support Packet 020 Continuity Function | Internal Operating Support Packet 020 Project Linkage | Internal Operating Support Packet 020 Privacy And Appropriateness Gate | Internal Operating Support Packet 020 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-023,Internal Operating Support Packet 023,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 023 Public Abstraction Boundary | Internal Operating Support Packet 023 Continuity Function | Internal Operating Support Packet 023 Project Linkage | Internal Operating Support Packet 023 Evidence Surface | Internal Operating Support Packet 023 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-024,Internal Operating Support Packet 024,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 024 Public Abstraction Boundary | Internal Operating Support Packet 024 Continuity Function | Internal Operating Support Packet 024 Project Linkage | Internal Operating Support Packet 024 Privacy And Appropriateness Gate | Internal Operating Support Packet 024 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-027,Internal Operating Support Packet 027,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 027 Public Abstraction Boundary | Internal Operating Support Packet 027 Continuity Function | Internal Operating Support Packet 027 Project Linkage | Internal Operating Support Packet 027 Evidence Surface | Internal Operating Support Packet 027 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-028,Internal Operating Support Packet 028,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 028 Public Abstraction Boundary | Internal Operating Support Packet 028 Continuity Function | Internal Operating Support Packet 028 Project Linkage | Internal Operating Support Packet 028 Privacy And Appropriateness Gate | Internal Operating Support Packet 028 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-031,Internal Operating Support Packet 031,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 031 Public Abstraction Boundary | Internal Operating Support Packet 031 Continuity Function | Internal Operating Support Packet 031 Project Linkage | Internal Operating Support Packet 031 Evidence Surface | Internal Operating Support Packet 031 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-032,Internal Operating Support Packet 032,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 032 Public Abstraction Boundary | Internal Operating Support Packet 032 Continuity Function | Internal Operating Support Packet 032 Project Linkage | Internal Operating Support Packet 032 Privacy And Appropriateness Gate | Internal Operating Support Packet 032 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-035,Internal Operating Support Packet 035,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 035 Public Abstraction Boundary | Internal Operating Support Packet 035 Continuity Function | Internal Operating Support Packet 035 Project Linkage | Internal Operating Support Packet 035 Evidence Surface | Internal Operating Support Packet 035 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-internal-operating-support-036,Internal Operating Support Packet 036,source governance or packet-routing system,T3 governed content system,7,4.14,4,L4 instrumented proof path: 6 | L5 execution-ready proof capsule: 1,1,7,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Internal Operating Support Packet 036 Public Abstraction Boundary | Internal Operating Support Packet 036 Continuity Function | Internal Operating Support Packet 036 Project Linkage | Internal Operating Support Packet 036 Privacy And Appropriateness Gate | Internal Operating Support Packet 036 Current Claim Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,source governance or packet-routing system,T3 governed content system,17,4.12,4,L4 instrumented proof path: 15 | L5 execution-ready proof capsule: 2,2,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories Handoff Identity | 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories Room Task Model | 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories Data Schema And Persistence Plan | 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories Integration Path | 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories Proof Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",source governance or packet-routing system,T3 governed content system,17,4.12,4,L4 instrumented proof path: 15 | L5 execution-ready proof capsule: 2,2,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action","50-entry curated arsenal (of planned 1,000) Handoff Identity | 50-entry curated arsenal (of planned 1,000) Room Task Model | 50-entry curated arsenal (of planned 1,000) Data Schema And Persistence Plan | 50-entry curated arsenal (of planned 1,000) Integration Path | 50-entry curated arsenal (of planned 1,000) Proof Boundary","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),source governance or packet-routing system,T3 governed content system,17,4.12,4,L4 instrumented proof path: 15 | L5 execution-ready proof capsule: 2,2,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",500-role ranked search universe (250 federal + 250 private) Handoff Identity | 500-role ranked search universe (250 federal + 250 private) Room Task Model | 500-role ranked search universe (250 federal + 250 private) Data Schema And Persistence Plan | 500-role ranked search universe (250 federal + 250 private) Interface And Instrument Plane | 500-role ranked search universe (250 federal + 250 private) Proof Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,source governance or packet-routing system,T3 governed content system,17,4.12,4,L4 instrumented proof path: 15 | L5 execution-ready proof capsule: 2,2,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",AR-SAT Room Handoff Identity | AR-SAT Room Room Task Model | AR-SAT Room Data Schema And Persistence Plan | AR-SAT Room Integration Path | AR-SAT Room Proof Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,source governance or packet-routing system,T3 governed content system,17,4.12,4,L4 instrumented proof path: 15 | L5 execution-ready proof capsule: 2,2,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Handoff Identity | Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Room Task Model | Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Data Schema And Persistence Plan | Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Interface And Instrument Plane | Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,source governance or packet-routing system,T3 governed content system,17,4.12,4,L4 instrumented proof path: 15 | L5 execution-ready proof capsule: 2,2,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Handoff Identity | Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Room Task Model | Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Data Schema And Persistence Plan | Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Interface And Instrument Plane | Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,source governance or packet-routing system,T3 governed content system,17,4.12,4,L4 instrumented proof path: 15 | L5 execution-ready proof capsule: 2,2,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Counter-Idiom Lab Handoff Identity | Counter-Idiom Lab Room Task Model | Counter-Idiom Lab Data Schema And Persistence Plan | Counter-Idiom Lab Interface And Instrument Plane | Counter-Idiom Lab Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,research workflow software module,T2 platform module,17,4.12,4,L4 instrumented proof path: 15 | L5 execution-ready proof capsule: 2,2,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS Handoff Identity | Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS Data Schema And Persistence Plan | Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS Interface And Instrument Plane | Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS Integration Path | Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS Proof Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-portfolio-index,Full Project Catalogue,source governance or packet-routing system,T3 governed content system,17,4.06,4,L4 instrumented proof path: 16 | L5 execution-ready proof capsule: 1,1,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Full Project Catalogue Artifact Identity Register | Full Project Catalogue Extraction And Manifest Layer | Full Project Catalogue Mechanism Or Claim Distillation | Full Project Catalogue Proof Boundary | Full Project Catalogue Promotion Route,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,source governance or packet-routing system,T3 governed content system,17,4.06,4,L4 instrumented proof path: 16 | L5 execution-ready proof capsule: 1,1,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",IC analyst portfolio build kit; skill taxonomy S01-S26 Handoff Identity | IC analyst portfolio build kit; skill taxonomy S01-S26 Room Task Model | IC analyst portfolio build kit; skill taxonomy S01-S26 Data Schema And Persistence Plan | IC analyst portfolio build kit; skill taxonomy S01-S26 Interface And Instrument Plane | IC analyst portfolio build kit; skill taxonomy S01-S26 Proof Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,source governance or packet-routing system,T3 governed content system,17,4.06,4,L4 instrumented proof path: 16 | L5 execution-ready proof capsule: 1,1,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",IDDD Bibliographic Inventory Handoff Identity | IDDD Bibliographic Inventory Room Task Model | IDDD Bibliographic Inventory Data Schema And Persistence Plan | IDDD Bibliographic Inventory Interface And Instrument Plane | IDDD Bibliographic Inventory Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),research workflow software module,T2 platform module,17,4.06,4,L4 instrumented proof path: 16 | L5 execution-ready proof capsule: 1,1,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Lossless Synthesis (Magnum Opus Scriptorium) Handoff Identity | Lossless Synthesis (Magnum Opus Scriptorium) Room Task Model | Lossless Synthesis (Magnum Opus Scriptorium) Data Schema And Persistence Plan | Lossless Synthesis (Magnum Opus Scriptorium) Interface And Instrument Plane | Lossless Synthesis (Magnum Opus Scriptorium) Proof Boundary,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,source governance or packet-routing system,T3 governed content system,17,4.06,4,L4 instrumented proof path: 16 | L5 execution-ready proof capsule: 1,1,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID Handoff Identity | Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID Room Task Model | Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID Data Schema And Persistence Plan | Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID Interface And Instrument Plane | Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,research workflow software module,T2 platform module,17,4.0,4,L4 instrumented proof path: 17,0,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff Handoff Identity | * META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff Room Task Model | * META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff Data Schema And Persistence Plan | * META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff Interface And Instrument Plane | * META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,research workflow software module,T2 platform module,17,4.0,4,L4 instrumented proof path: 17,0,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Actual code patch: 170 KB unified diff + changed files Handoff Identity | Actual code patch: 170 KB unified diff + changed files Room Task Model | Actual code patch: 170 KB unified diff + changed files Data Schema And Persistence Plan | Actual code patch: 170 KB unified diff + changed files Interface And Instrument Plane | Actual code patch: 170 KB unified diff + changed files Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,research workflow software module,T2 platform module,17,4.0,4,L4 instrumented proof path: 17,0,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker Handoff Identity | Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker Room Task Model | Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker Data Schema And Persistence Plan | Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker Interface And Instrument Plane | Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,research workflow software module,T2 platform module,17,4.0,4,L4 instrumented proof path: 17,0,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Annealed Refraction Chamber Handoff Identity | Annealed Refraction Chamber Room Task Model | Annealed Refraction Chamber Data Schema And Persistence Plan | Annealed Refraction Chamber Interface And Instrument Plane | Annealed Refraction Chamber Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-applied-history-lab,Applied History Lab,source governance or packet-routing system,T3 governed content system,17,4.0,4,L4 instrumented proof path: 17,0,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Applied History Lab Artifact Identity Register | Applied History Lab Extraction And Manifest Layer | Applied History Lab Mechanism Or Claim Distillation | Applied History Lab Proof Boundary | Applied History Lab Promotion Route,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,research workflow software module,T2 platform module,17,4.0,4,L4 instrumented proof path: 17,0,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Bias Atlas Handoff Identity | Bias Atlas Room Task Model | Bias Atlas Data Schema And Persistence Plan | Bias Atlas Interface And Instrument Plane | Bias Atlas Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,research workflow software module,T2 platform module,17,4.0,4,L4 instrumented proof path: 17,0,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Briefing Forge Handoff Identity | Briefing Forge Room Task Model | Briefing Forge Data Schema And Persistence Plan | Briefing Forge Interface And Instrument Plane | Briefing Forge Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),source governance or packet-routing system,T3 governed content system,17,4.0,4,L4 instrumented proof path: 17,0,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Briefing Forge Room (code-ready) Handoff Identity | Briefing Forge Room (code-ready) Room Task Model | Briefing Forge Room (code-ready) Data Schema And Persistence Plan | Briefing Forge Room (code-ready) Interface And Instrument Plane | Briefing Forge Room (code-ready) Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,research workflow software module,T2 platform module,17,4.0,4,L4 instrumented proof path: 17,0,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",CI Tradecraft Chamber Handoff Identity | CI Tradecraft Chamber Room Task Model | CI Tradecraft Chamber Data Schema And Persistence Plan | CI Tradecraft Chamber Interface And Instrument Plane | CI Tradecraft Chamber Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
