project_id,product_name,proof_status,average_maturity_score,distinctive_component_to_build,what_it_must_prove,observable_output_required,next_full_build_step,claim_boundary
mb-internal-operating-support-004,Internal Operating Support Packet 004,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 004,"Select one artifact from Internal Operating Support Packet 004 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-007,Internal Operating Support Packet 007,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 007,"Select one artifact from Internal Operating Support Packet 007 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-008,Internal Operating Support Packet 008,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 008,"Select one artifact from Internal Operating Support Packet 008 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-011,Internal Operating Support Packet 011,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 011,"Select one artifact from Internal Operating Support Packet 011 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-012,Internal Operating Support Packet 012,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 012,"Select one artifact from Internal Operating Support Packet 012 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-015,Internal Operating Support Packet 015,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 015,"Select one artifact from Internal Operating Support Packet 015 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-016,Internal Operating Support Packet 016,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 016,"Select one artifact from Internal Operating Support Packet 016 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-019,Internal Operating Support Packet 019,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 019,"Select one artifact from Internal Operating Support Packet 019 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-020,Internal Operating Support Packet 020,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 020,"Select one artifact from Internal Operating Support Packet 020 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-023,Internal Operating Support Packet 023,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 023,"Select one artifact from Internal Operating Support Packet 023 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-024,Internal Operating Support Packet 024,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 024,"Select one artifact from Internal Operating Support Packet 024 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-027,Internal Operating Support Packet 027,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 027,"Select one artifact from Internal Operating Support Packet 027 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-028,Internal Operating Support Packet 028,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 028,"Select one artifact from Internal Operating Support Packet 028 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-031,Internal Operating Support Packet 031,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 031,"Select one artifact from Internal Operating Support Packet 031 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-032,Internal Operating Support Packet 032,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 032,"Select one artifact from Internal Operating Support Packet 032 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-035,Internal Operating Support Packet 035,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 035,"Select one artifact from Internal Operating Support Packet 035 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-036,Internal Operating Support Packet 036,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 036,"Select one artifact from Internal Operating Support Packet 036 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-hearthglass-handoff-v1,HearthGlass,instrumented proof set,4.18,Packet promotion decision proof: HearthGlass,"Select one artifact from HearthGlass and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,instrumented proof set,4.18,Packet promotion decision proof: ISC Symposium Command,"Select one artifact from ISC Symposium Command and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,instrumented proof set,4.18,Packet promotion decision proof: Interval Chamber of Refraction,"Select one artifact from Interval Chamber of Refraction and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-london,Colonial Archive Explorer,instrumented proof set,4.24,Packet promotion decision proof: Colonial Archive Explorer,"Select one artifact from Colonial Archive Explorer and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,instrumented proof set,4.24,Packet promotion decision proof: Most implementation-ready: .patch + full files + snapshot + SQL verif...,"Select one artifact from Most implementation-ready: .patch + full files + snapshot + SQL verification + va... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-package-v1-2026-04-11,Only one with V1_ROOM_CONSTITUTION.md,instrumented proof set,4.24,Room instrument transition proof: Only one with V1_ROOM_CONSTITUTION.md,"Select one room or instrument promise from Only one with V1_ROOM_CONSTITUTION.md and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",instrumented proof set,4.29,"Room instrument transition proof: Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7...","Select one room or instrument promise from Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines) and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,instrumented proof set,4.29,Packet promotion decision proof: Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-co...,"Select one artifact from Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence gov... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,instrumented proof set,4.29,Packet promotion decision proof: Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,"Select one artifact from Flat structure; 01_GOVERNING_SOURCES/ + flattened live files and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),instrumented proof set,4.29,Room instrument transition proof: Room Master (constitution),"Select one room or instrument promise from Room Master (constitution) and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,instrumented proof set,4.35,Cognitive-firewall instrument proof: Cognitive Firewalls Foundry,"Convert one defensive instrument from Cognitive Firewalls Foundry into an input-output test that shows corruption pressure, detection surface, analyst check, and allowed claim.","corruption fixture, detection cue, analyst validation step, decision gate, and claim ceiling","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,instrumented proof set,4.56,Adversarial retrieval replay demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,instrumented proof set,4.56,Adversarial retrieval replay demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",instrumented proof set,4.59,"Room instrument transition proof: 25x25 matrix framework (Warning labels populated, cell content NOT)","Select one room or instrument promise from 25x25 matrix framework (Warning labels populated, cell content NOT) and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,instrumented proof set,4.59,Packet promotion decision proof: 52 MB cross-project governance pack; nested 55 MB original bundle pre...,"Select one artifact from 52 MB cross-project governance pack; nested 55 MB original bundle preserved and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,instrumented proof set,4.64,Counterintelligence analytic-variable proof: Counterintelligence Surveillance Framework - Beyond Surveillance Maxi...,"Take one intelligence or counterintelligence artifact from Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Sm... and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add one implementation scenario: policy problem, decision rule, control point, abuse case, measurable criterion, and revision trigger.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-iscproposals,Counterintelligence Surveillance Framework,instrumented proof set,4.65,Counterintelligence analytic-variable proof: Counterintelligence Surveillance Framework,"Take one intelligence or counterintelligence artifact from Counterintelligence Surveillance Framework and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add one implementation scenario: policy problem, decision rule, control point, abuse case, measurable criterion, and revision trigger.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),instrumented proof set,4.65,Packet promotion decision proof: Cumulative-patch consolidator (4 historical patch packs merged),"Select one artifact from Cumulative-patch consolidator (4 historical patch packs merged) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",instrumented proof set,4.71,"Packet promotion decision proof: 50-course Georgetown SSP registry; 7,500+ technique lines; capstone p...","Select one artifact from 50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,instrumented proof set,4.71,Packet promotion decision proof: Narrative Furnace,"Select one artifact from Narrative Furnace and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-russia-security-desk,Russia Security Desk,instrumented proof set,4.75,Counterintelligence analytic-variable proof: Russia Security Desk,"Take one intelligence or counterintelligence artifact from Russia Security Desk and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,instrumented proof set,4.76,Counterintelligence analytic-variable proof: 32 interdisciplinary frameworks attributed to specific thinkers,"Take one intelligence or counterintelligence artifact from 32 interdisciplinary frameworks attributed to specific thinkers and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,instrumented proof set,4.76,Room instrument transition proof: Dialectic Engine,"Select one room or instrument promise from Dialectic Engine and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,instrumented proof set,4.82,Packet promotion decision proof: CARE framework gray-zone counter-strategy + red-team critique,"Select one artifact from CARE framework gray-zone counter-strategy + red-team critique and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,instrumented proof set,4.82,Structured-analytic technique replay: Canonical SAT dedup: 106 techniques normalized across 11 catalogues,"Select one method or template from Canonical SAT dedup: 106 techniques normalized across 11 catalogues and run it against a concrete analytic question, showing input evidence, technique sequence, analyst intervention, and final claim boundary.","technique sequence, evidence table, analyst delta, confidence boundary, and misuse warning","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,instrumented proof set,4.88,Room instrument transition proof: Critical Functions Observatory - defensive UAS / critical-infrastruct...,"Select one room or instrument promise from Critical Functions Observatory - defensive UAS / critical-infrastructure research... and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",instrumented proof set,4.88,"Counterintelligence analytic-variable proof: Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" wo...","Take one intelligence or counterintelligence artifact from Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,instrumented proof set,4.88,Packet promotion decision proof: Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLAN...,"Select one artifact from Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,instrumented proof set,4.94,Counterintelligence analytic-variable proof: Decision Advantage System - operating architecture for intelligence a...,"Take one intelligence or counterintelligence artifact from Decision Advantage System - operating architecture for intelligence and security... and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,instrumented proof set,5.0,Packet promotion decision proof: 100-item ranked bibliography with verification levels A/B/C x core/ex...,"Select one artifact from 100-item ranked bibliography with verification levels A/B/C x core/extended and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,instrumented proof set,5.0,Packet promotion decision proof: 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,"Select one artifact from 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),instrumented proof set,5.0,Counterintelligence analytic-variable proof: 3-page Russia integrated-strategy assessment (V1-V4 convergence),"Take one intelligence or counterintelligence artifact from 3-page Russia integrated-strategy assessment (V1-V4 convergence) and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,instrumented proof set,5.0,Counterintelligence analytic-variable proof: 72-month master plan + Russian-language 12-month CSV + SF-86 prep,"Take one intelligence or counterintelligence artifact from 72-month master plan + Russian-language 12-month CSV + SF-86 prep and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
row3,"AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries",instrumented proof set,5.0,Packet promotion decision proof: AI Extraction Defense - five-layer architecture protecting proprietar...,"Select one artifact from AI Extraction Defense - five-layer architecture protecting proprietary AI models... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aifailure-tax,AI Failure Taxonomy,instrumented proof set,5.0,Packet promotion decision proof: AI Failure Taxonomy,"Select one artifact from AI Failure Taxonomy and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aigov-nav,AI Governance Navigator,instrumented proof set,5.0,Packet promotion decision proof: AI Governance Navigator,"Select one artifact from AI Governance Navigator and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one routing demonstration: user problem, chosen path, rejected path, governing criterion, output, and next review gate.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiintel-cycle,AI Intelligence Cycle,instrumented proof set,5.0,Counterintelligence analytic-variable proof: AI Intelligence Cycle,"Take one intelligence or counterintelligence artifact from AI Intelligence Cycle and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiknowledge-prod,AI Knowledge Production,instrumented proof set,5.0,Packet promotion decision proof: AI Knowledge Production,"Select one artifact from AI Knowledge Production and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aimodel-assess,AI Model Assessment,instrumented proof set,5.0,Packet promotion decision proof: AI Model Assessment,"Select one artifact from AI Model Assessment and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiosintnarr,AI OSINT Narrative Analysis,instrumented proof set,5.0,Packet promotion decision proof: AI OSINT Narrative Analysis,"Select one artifact from AI OSINT Narrative Analysis and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiprompt-eng,AI Prompt Engineering,instrumented proof set,5.0,Room instrument transition proof: AI Prompt Engineering,"Select one room or instrument promise from AI Prompt Engineering and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
