project_id,project_title,new_component,why_needed,input,operation,output,source_candidates,source_boundary,acceptance_test
mb-muranoos-red-team-phase-iii-a-handoff-2026-04-11,"Only one with Shadi_SAT_Seed.json + ""Phase III-A"" naming",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-phaseii-handoff-2026-04-14,Posture Compass 5-axis instrument; framing_tensions/rival_framing columns,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",OceanofPDF.com The Sources of Military Doctrine France Britain and Germany Between the World Wars Barry R Posen PDOC | The Sources of Military Doctrine France Britain and Germany Between the World Wars Barry R Posen PDOC | 043 Historical Documents Harvard Classics PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-2026-04-15,Triple-layer (zip+tree+addendum); 3-pass ledger,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action","Wartime Captivity in the 20th Century Archives, Stories, Memories Anne Marie Pathé et al | 043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-package-2026-04-11,Only one with 07_Derivative_Handoff/; richest SQL DDL,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-pass1-2026-04-15,"specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Core Expansion A""",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Building an American Empire The Era of Territorial and Political Expansion Paul Frymer | Contract &amp Commonwealth Thomas,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-refraction-chamber-final-handoff-2026-04-14,Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-tranche-ii-handoff-pack-2026-04-15,"Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new commands",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-tranche1-handoff-package-2026-04-11,Leanest blueprint-only; only with named rollback doc,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-trancheii-handoff-2026-04-13,Surgical patch package; 12 live source snapshots + 4 patch-plane specs,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-redteam-rc1-2026-04-14,RC1 wrapper; front-loaded 00_RC_Handoff/,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Brief Answers to the Big Questions by Stephen Hawking | Brief Answers to the Big Questions by Stephen Hawking (2021 01 02 03 51 07 UTC),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-redteamlab-handoff-package-v1,Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-script-atelier-handoff-package-v0-2026-04-17,Script Atelier (v0),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-the-interval-handoff-v0-1,The Interval (remote violence),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Classical Film Violence PDOC | Documents on the Rape of Nanking Timothy Brook,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-tradecraft-foundry-handoff-package-2026-04-11,Tradecraft Foundry,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-western-myth-codex-phase-i-stub-pack,Western Myth Codex,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | A Companion to Narrative Theory James Phelan et al | A Companion to Narrative Theory James Phelan et al (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | 6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | 2aMassage Techniques and Effects Presentation | 2aMassage Techniques and Effects Presentation PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-africa,Colonial Encounter in Africa,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-aifailure-tax,AI Failure Taxonomy,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A Military Atlas of the First World War Arthur S. Banks et al | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
